student id,first name,last name,grade level,level,enrollment date,status,parent name,parent phone,parent email
41STU090,Zilpah,Ngalula,base-8,Éducation de Base,2024-02-08,active,Lambert Ngalula,+243902012367,lambert.ngalula@gmail.com
42STU091,Nathanael,Mpongo,humanites-1,Humanités,2024-01-30,active,Gisele Mpongo,+243903123478,gisele.mpongo@yahoo.com
43STU092,Abishag,Mbuya,humanites-3,Humanités,2024-02-20,active,Desire Mbuya,+243904234589,desire.mbuya@gmail.com
44STU093,Obed,Kalume,humanites-2,Humanités,2024-01-15,active,Jeanne Kalume,+243905345690,jeanne.kalume@outlook.com
45STU094,Huldah,Muteba,humanites-4,Humanités,2024-02-12,active,Theodore Muteba,+243906456801,theodore.muteba@gmail.com
46STU095,Seth,Kanku,licence-1,Enseignement supérieur,2024-01-20,active,Pauline Kanku,+243907567812,pauline.kanku@yahoo.fr
47STU096,Orpah,Luamba,licence-2,Enseignement supérieur,2024-02-18,active,Gaston Luamba,+243908678923,gaston.luamba@gmail.com
48STU097,Enoch,Tshilumba,primaire-3,Primaire,2024-01-25,active,Antoinette Tshilumba,+243909789034,antoinette.tshilumba@outlook.com
49STU098,Sapphira,Mulumba,primaire-5,Primaire,2024-02-10,active,Norbert Mulumba,+243900890145,norbert.mulumba@gmail.com
50STU099,Jethro,Kabongo,primaire-2,Primaire,2024-01-18,active,Rosalie Kabongo,+243901901256,rosalie.kabongo@yahoo.com
51STU100,Zipporah,Nkashama,primaire-4,Primaire,2024-02-22,active,Eugene Nkashama,+243902012367,eugene.nkashama@gmail.com
52STU101,Noah,Tshimbalanga,primaire-6,Primaire,2024-01-28,active,Viviane Tshimbalanga,+243903123478,viviane.tshimbalanga@outlook.com
53STU102,Eve,Mukuna,primaire-1,Primaire,2024-02-15,active,Olivier Mukuna,+243904234589,olivier.mukuna@gmail.com
54STU103,Abel,Mukendi,base-7,Éducation de Base,2024-01-22,active,Lucienne Mukendi,+243905345690,lucienne.mukendi@yahoo.fr
55STU104,Rebekah,Kabongo,base-8,Éducation de Base,2024-02-08,active,Hubert Kabongo,+243906456801,hubert.kabongo@gmail.com
56STU105,Methuselah,Mwila,humanites-1,Humanités,2024-01-30,active,Yvonne Mwila,+243907567812,yvonne.mwila@outlook.com
57STU106,Bathsheba,Kilolo,humanites-3,Humanités,2024-02-20,active,Gerard Kilolo,+243908678923,gerard.kilolo@gmail.com
58STU107,Lemuel,Tshimungu,humanites-2,Humanités,2024-01-15,active,Denise Tshimungu,+243909789034,denise.tshimungu@yahoo.com
59STU108,Vashti,Mulenda,humanites-4,Humanités,2024-02-12,active,Jules Mulenda,+243900890145,jules.mulenda@gmail.com
60STU109,Mephibosheth,Katanga,licence-3,Enseignement supérieur,2024-01-20,active,Albertine Katanga,+243901901256,albertine.katanga@outlook.com
61STU110,Kezia,Bumba,licence-1,Enseignement supérieur,2024-02-18,active,Maurice Bumba,+243902012367,maurice.bumba@gmail.com
62STU111,Jehu,Mbombo,primaire-3,Primaire,2024-01-25,active,Sandrine Mbombo,+243903123478,sandrine.mbombo@yahoo.fr
63STU112,Athaliah,Nkongolo,primaire-5,Primaire,2024-02-10,active,Louis Nkongolo,+243904234589,louis.nkongolo@gmail.com
64STU113,Ahab,Mujinga,primaire-2,Primaire,2024-01-18,active,Germaine Mujinga,+243905345690,germaine.mujinga@outlook.com
65STU114,Jezebel,Lukengu,primaire-4,Primaire,2024-02-22,active,Celestin Lukengu,+243906456801,celestin.lukengu@gmail.com
66STU115,Elkanah,Kasongo,primaire-6,Primaire,2024-01-28,active,Philomene Kasongo,+243907567812,philomene.kasongo@yahoo.com
67STU116,Peninnah,Mukeba,primaire-1,Primaire,2024-02-15,active,Alphonse Mukeba,+243908678923,alphonse.mukeba@gmail.com
68STU117,Ichabod,Tshianda,base-7,Éducation de Base,2024-01-22,active,Berthe Tshianda,+243909789034,berthe.tshianda@outlook.com
69STU118,Jedidah,Mulumba,base-8,Éducation de Base,2024-02-08,active,Faustin Mulumba,+243900890145,faustin.mulumba@gmail.com
70STU119,Uzziah,Ngoyi,humanites-1,Humanités,2024-01-30,active,Eugenie Ngoyi,+243901901256,eugenie.ngoyi@yahoo.fr
71STU120,Azariah,Tshikala,humanites-3,Humanités,2024-02-20,active,Norbert Tshikala,+243902012367,norbert.tshikala@gmail.com
72STU121,Hananiah,Mukandila,humanites-2,Humanités,2024-01-15,active,Laurentine Mukandila,+243903123478,laurentine.mukandila@outlook.com
73STU122,Mishael,Kabongo,humanites-4,Humanités,2024-02-12,active,Godefroid Kabongo,+243904234589,godefroid.kabongo@gmail.com
74STU123,Mahershalalhashbaz,Mukendi,licence-2,Enseignement supérieur,2024-01-20,active,Clementine Mukendi,+243905345690,clementine.mukendi@yahoo.com
75STU124,Nebuchadnezzar,Kalombo,licence-3,Enseignement supérieur,2024-02-18,active,Prosper Kalombo,+243906456801,prosper.kalombo@gmail.com
76STU125,Bezalel,Tshiyembe,primaire-3,Primaire,2024-01-25,active,Monique Tshiyembe,+243907567812,monique.tshiyembe@outlook.com
77STU126,Zacchaeus,Mujinga,primaire-5,Primaire,2024-02-10,active,Ernest Mujinga,+243908678923,ernest.mujinga@gmail.com
78STU127,Gamaliel,Kabongo,primaire-2,Primaire,2024-01-18,active,Fideline Kabongo,+243909789034,fideline.kabongo@yahoo.fr
79STU128,Bartimaeus,Mulamba,primaire-4,Primaire,2024-02-22,active,Innocent Mulamba,+243900890145,innocent.mulamba@gmail.com
80STU129,Nicodemus,Tshisekedi,primaire-6,Primaire,2024-01-28,active,Bernadette Tshisekedi,+243901901256,bernadette.tshisekedi@outlook.com
81STU130,Theophilus,Mukendi,primaire-1,Primaire,2024-02-15,active,Christophe Mukendi,+243902012367,christophe.mukendi@gmail.com
82STU131,Apollos,Kabila,base-7,Éducation de Base,2024-01-22,active,Felicienne Kabila,+243903123478,felicienne.kabila@yahoo.com
83STU132,Aquila,Mobutu,base-8,Éducation de Base,2024-02-08,active,Dominique Mobutu,+243904234589,dominique.mobutu@gmail.com
84STU133,Priscilla,Lumumba,humanites-1,Humanités,2024-01-30,active,Boniface Lumumba,+243905345690,boniface.lumumba@outlook.com
85STU134,Phoebe,Kasavubu,humanites-3,Humanités,2024-02-20,active,Angeline Kasavubu,+243906456801,angeline.kasavubu@gmail.com
86STU135,Lydia,Mpiana,humanites-2,Humanités,2024-01-15,active,Claude Mpiana,+243907567812,claude.mpiana@yahoo.fr
87STU136,Demetrius,Kabongo,humanites-4,Humanités,2024-02-12,active,Madeleine Kabongo,+243908678923,madeleine.kabongo@gmail.com
88STU137,Epaphroditus,Mukamba,licence-1,Enseignement supérieur,2024-01-20,active,Joseph Mukamba,+243909789034,joseph.mukamba@outlook.com
89STU138,Philemon,Tshilombo,licence-2,Enseignement supérieur,2024-02-18,active,Justine Tshilombo,+243900890145,justine.tshilombo@gmail.com
90STU139,Onesimus,Mpongo,licence-3,Enseignement supérieur,2024-01-25,active,Adolphe Mpongo,+243901901256,adolphe.mpongo@yahoo.com
91STU140,Tychicus,Kasongo,primaire-3,Primaire,2024-02-10,active,Jolie Kasongo,+243902012367,jolie.kasongo@gmail.com
92STU141,Trophimus,Mulumba,primaire-5,Primaire,2024-01-18,active,Germain Mulumba,+243903123478,germain.mulumba@outlook.com
93STU142,Aristarchus,Kabongo,primaire-2,Primaire,2024-02-22,active,Stephanie Kabongo,+243904234589,stephanie.kabongo@gmail.com
94STU143,Sosthenes,Mbuyi,primaire-4,Primaire,2024-01-28,active,Valentin Mbuyi,+243905345690,valentin.mbuyi@yahoo.fr
95STU144,Epaphras,Tshisekedi,primaire-6,Primaire,2024-02-15,active,Delphine Tshisekedi,+243906456801,delphine.tshisekedi@gmail.com
96STU145,Clement,Mukendi,primaire-1,Primaire,2024-01-22,active,Gustave Mukendi,+243907567812,gustave.mukendi@outlook.com
97STU146,Archippus,Kabila,base-7,Éducation de Base,2024-02-08,active,Honorine Kabila,+243908678923,honorine.kabila@gmail.com
98STU147,Nymphas,Mobutu,base-8,Éducation de Base,2024-01-30,active,Isidore Mobutu,+243909789034,isidore.mobutu@yahoo.com
99STU148,Apphia,Lumumba,humanites-1,Humanités,2024-02-20,active,Josiane Lumumba,+243900890145,josiane.lumumba@gmail.com
100STU149,Ampliatus,Kasavubu,humanites-3,Humanités,2024-01-15,active,Kizito Kasavubu,+243901901256,kizito.kasavubu@outlook.com
101STU150,Urbanus,Mpiana,humanites-2,Humanités,2024-02-12,active,Leonine Mpiana,+243902012367,leonine.mpiana@gmail.com
102STU151,Stachys,Kabongo,humanites-4,Humanités,2024-01-20,active,Modeste Kabongo,+243903123478,modeste.kabongo@yahoo.fr
103STU152,Apelles,Mukamba,licence-1,Enseignement supérieur,2024-02-18,active,Nathalie Mukamba,+243904234589,nathalie.mukamba@gmail.com
104STU153,Herodion,Tshilombo,licence-2,Enseignement supérieur,2024-01-25,active,Oscar Tshilombo,+243905345690,oscar.tshilombo@outlook.com
105STU154,Narcissus,Mpongo,licence-3,Enseignement supérieur,2024-02-10,active,Pascaline Mpongo,+243906456801,pascaline.mpongo@gmail.com
106STU155,Rufus,Kasongo,primaire-3,Primaire,2024-01-18,active,Quentin Kasongo,+243907567812,quentin.kasongo@yahoo.com
107STU156,Asyncritus,Mulumba,primaire-5,Primaire,2024-02-22,active,Rosette Mulumba,+243908678923,rosette.mulumba@gmail.com
108STU157,Phlegon,Kabongo,primaire-2,Primaire,2024-01-28,active,Sylvestre Kabongo,+243909789034,sylvestre.kabongo@outlook.com
109STU158,Hermes,Mbuyi,primaire-4,Primaire,2024-02-15,active,Therese Mbuyi,+243900890145,therese.mbuyi@gmail.com
110STU159,Patrobas,Tshisekedi,primaire-6,Primaire,2024-01-22,active,Urbain Tshisekedi,+243901901256,urbain.tshisekedi@yahoo.fr
111STU160,Hermas,Mukendi,primaire-1,Primaire,2024-02-08,active,Veronique Mukendi,+243902012367,veronique.mukendi@gmail.com
112STU161,Philologus,Kabila,base-7,Éducation de Base,2024-01-30,active,William Kabila,+243903123478,william.kabila@outlook.com
113STU162,Julia,Mobutu,base-8,Éducation de Base,2024-02-20,active,Xavier Mobutu,+243904234589,xavier.mobutu@gmail.com
114STU163,Nereus,Lumumba,humanites-1,Humanités,2024-01-15,active,Yolande Lumumba,+243905345690,yolande.lumumba@yahoo.com
115STU164,Olympas,Kasavubu,humanites-3,Humanités,2024-02-12,active,Zacharie Kasavubu,+243906456801,zacharie.kasavubu@gmail.com
116STU165,Tertius,Mpiana,humanites-2,Humanités,2024-01-20,active,Amelie Mpiana,+243907567812,amelie.mpiana@outlook.com
117STU166,Erastus,Kabongo,humanites-4,Humanités,2024-02-18,active,Blaise Kabongo,+243908678923,blaise.kabongo@gmail.com
118STU167,Quartus,Mukamba,licence-1,Enseignement supérieur,2024-01-25,active,Chantal Mukamba,+243909789034,chantal.mukamba@yahoo.fr
119STU168,Carpus,Tshilombo,licence-2,Enseignement supérieur,2024-02-10,active,Dieudonne Tshilombo,+243900890145,dieudonne.tshilombo@gmail.com
120STU169,Crescens,Mpongo,licence-3,Enseignement supérieur,2024-01-18,active,Edwige Mpongo,+243901901256,edwige.mpongo@outlook.com
121STU170,Linus,Kasongo,primaire-3,Primaire,2024-02-22,active,Fernand Kasongo,+243902012367,fernand.kasongo@gmail.com
122STU171,Claudia,Mulumba,primaire-5,Primaire,2024-01-28,active,Georgette Mulumba,+243903123478,georgette.mulumba@yahoo.com
123STU172,Pudens,Kabongo,primaire-2,Primaire,2024-02-15,active,Hippolyte Kabongo,+243904234589,hippolyte.kabongo@gmail.com
124STU173,Eubulus,Mbuyi,primaire-4,Primaire,2024-01-22,active,Irene Mbuyi,+243905345690,irene.mbuyi@outlook.com
125STU174,Artemas,Tshisekedi,primaire-6,Primaire,2024-02-08,active,Jacques Tshisekedi,+243906456801,jacques.tshisekedi@gmail.com
126STU175,Zenas,Mukendi,primaire-1,Primaire,2024-01-30,active,Karine Mukendi,+243907567812,karine.mukendi@yahoo.fr
127STU176,Titus,Kabila,base-7,Éducation de Base,2024-02-20,active,Leon Kabila,+243908678923,leon.kabila@gmail.com
128STU177,Silas,Mobutu,base-8,Éducation de Base,2024-01-15,active,Marguerite Mobutu,+243909789034,marguerite.mobutu@outlook.com
129STU178,Sylvanus,Lumumba,humanites-1,Humanités,2024-02-12,active,Nicolas Lumumba,+243900890145,nicolas.lumumba@gmail.com
130STU179,Fortunatus,Kasavubu,humanites-3,Humanités,2024-01-20,active,Odile Kasavubu,+243901901256,odile.kasavubu@yahoo.com
131STU180,Achaicus,Mpiana,humanites-2,Humanités,2024-02-18,active,Pierre Mpiana,+243902012367,pierre.mpiana@gmail.com
132STU181,Stephanas,Kabongo,humanites-4,Humanités,2024-01-25,active,Quintine Kabongo,+243903123478,quintine.kabongo@outlook.com
133STU182,Justus,Mukamba,licence-1,Enseignement supérieur,2024-02-10,active,Raphael Mukamba,+243904234589,raphael.mukamba@gmail.com
134STU183,Sopater,Tshilombo,licence-2,Enseignement supérieur,2024-01-18,active,Sabine Tshilombo,+243905345690,sabine.tshilombo@yahoo.fr
135STU184,Secundus,Mpongo,licence-3,Enseignement supérieur,2024-02-22,active,Thierry Mpongo,+243906456801,thierry.mpongo@gmail.com
136STU185,Gaius,Kasongo,primaire-3,Primaire,2024-01-28,active,Ursule Kasongo,+243907567812,ursule.kasongo@outlook.com
137STU186,Lucius,Mulumba,primaire-5,Primaire,2024-02-15,active,Vincent Mulumba,+243908678923,vincent.mulumba@gmail.com
138STU187,Jason,Kabongo,primaire-2,Primaire,2024-01-22,active,Willy Kabongo,+243909789034,willy.kabongo@yahoo.com
139STU188,Sosipater,Mbuyi,primaire-4,Primaire,2024-02-08,active,Xavier Mbuyi,+243900890145,xavier.mbuyi@gmail.com
140STU189,Crispus,Tshisekedi,primaire-6,Primaire,2024-01-30,active,Yves Tshisekedi,+243901901256,yves.tshisekedi@outlook.com
141STU190,Aquila,Mukendi,primaire-1,Primaire,2024-02-20,active,Zoe Mukendi,+243902012367,zoe.mukendi@gmail.com
142STU191,Priscilla,Kabila,base-7,Éducation de Base,2024-01-15,active,Armand Kabila,+243903123478,armand.kabila@yahoo.fr
143STU192,michael,Ngandu,humanites-2,Humanités,2023-09-01,active,Albert Ngandu,+243901901245,albert.ngandu@gmail.com
144STU193,john,Ngandu,humanites-2,Humanités,2023-09-01,active,Albert Ngandu,+243901901245,albert.ngandu@gmail.com
